id,indicator,indicator_THA,indicator_ENG,detail_THA,detail_ENG,calculation_method_THA,calculation_method_ENG
34,social_support,อัตราส่วนประชากรที่รายงานว่ามีบุคคลที่สามารถพึ่งพาได้ในยามฉุกเฉิน,Social Support,วัดความพร้อมใช้งานของเครือข่ายทางสังคมและระบบสนับสนุนที่เชื่อถือได้ในช่วงเวลาฉุกเฉินหรือความต้องการ การสนับสนุนทางสังคมที่แข็งแกร่งเพิ่มความยืดหยุ่น สุขภาพจิต และความเป็นน้ำหนึ่งใจเดียวกันของชุมชน,Measures the availability of reliable social networks and support systems during times of emergency or need. Strong social support enhances resilience mental health and community solidarity.,จำนวนผู้มีเครือข่ายสนับสนุนทางสังคม ÷ จำนวนประชากรทั้งหมด × 100,Number of people with social support networks ÷ Total population × 100
35,community_murder,เหตุความรุนแรงในชุมชน,Community Violence,ติดตามเหตุการณ์การฆาตกรรมและอาชญากรรมรุนแรงร้ายแรงภายในชุมชน ระดับความรุนแรงของชุมชนสะท้อนสภาพความปลอดภัยสาธารณะและประสิทธิภาพของมาตรการป้องกันอาชญากรรม,Tracks incidents of homicide and serious violent crimes within the community. Community violence levels reflect public safety conditions and the effectiveness of crime prevention measures.,จำนวนเหตุความรุนแรงในชุมชน ÷ จำนวนประชากรทั้งหมด × 100,Number of community violence incidents ÷ Total population × 100
36,alcohol_consumption,อัตราการบริโภคแอลกอฮอล์,Alcohol Consumption,วัดความชุกของรูปแบบการบริโภคแอลกอฮอล์ที่อาจก่อให้เกิดความเสี่ยงต่อสุขภาพ การดื่มแอลกอฮอล์มากเกินไปก่อให้เกิดปัญหาสุขภาพ ปัญหาสังคม และต้นทุนทางเศรษฐกิจต่างๆ ภายในชุมชน,Measures the prevalence of alcohol consumption patterns that may pose health risks. Excessive alcohol use contributes to various health problems social issues and economic costs within communities.,จำนวนผู้บริโภคแอลกอฮอล์ ÷ จำนวนประชากรทั้งหมด × 100,Number of alcohol consumers ÷ Total population × 100
37,tobacco_use,อัตราการใช้บุหรี่และบุหรี่ไฟฟ้า,Tobacco Use,ติดตามเปอร์เซ็นต์ของบุคคลที่ใช้ผลิตภัณฑ์ยาสูบ รวมถึงบุหรี่และบุหรี่อิเล็กทรอนิกส์ การใช้ยาสูบเป็นสาเหตุหลักที่ป้องกันได้ของการเจ็บป่วย ความพิการ และการเสียชีวิตก่อนวัยอันควร,Tracks the percentage of individuals using tobacco products including cigarettes and electronic cigarettes. Tobacco use is a leading preventable cause of disease disability and premature death.,จำนวนผู้ใช้ยาสูบ ÷ จำนวนประชากรอายุ 15 ปีขึ้นไป × 100,Number of tobacco users ÷ Population aged 15+ × 100
38,physical_activity,อัตราส่วนประชากรที่มีกิจกรรมทางกายเพียงพอ,Physical Activity,แสดงสัดส่วนของประชากรที่รับการออกกำลังกายตามระดับที่แนะนำสำหรับการรักษาสุขภาพ การออกกำลังกายไม่เพียงพอเพิ่มความเสี่ยงของโรคเรื้อรังและลดคุณภาพชีวิตโดยรวม,Indicates the proportion of the population meeting recommended levels of physical activity for health maintenance. Insufficient physical activity increases risks of chronic diseases and reduces overall quality of life.,จำนวนผู้ออกกำลังกายเพียงพอ ÷ จำนวนประชากรทั้งหมด × 100,Number of people with sufficient physical activity ÷ Total population × 100
39,obesity,อัตราส่วนประชากรที่มีภาวะน้ำหนักเกิน,Obesity,วัดเปอร์เซ็นต์ของบุคคลที่มีดัชนีมวลกายบ่งชี้ความอ้วน (BMI ≥30) ความอ้วนเพิ่มความเสี่ยงของโรคเบาหวาน โรคหัวใจและหลอดเลือด และภาวะสุขภาพร้ายแรงอื่นๆ,Measures the percentage of individuals with body mass index indicating obesity (BMI ≥30). Obesity increases the risk of diabetes cardiovascular disease and other serious health conditions.,จำนวนผู้ที่มีค่าดัชนีมวลกาย ≥ 30 ÷ จำนวนประชากรทั้งหมด × 100,Number of people with BMI ≥ 30 ÷ Total population × 100
40,any_chronic_disease,อัตราส่วนผู้ป่วยโรคไม่ติดต่อเรื้อรัง,Any Chronic Disease,วัดสัดส่วนของประชากรที่มีโรคเรื้อรังไม่ติดต่อ ความชุกของโรคเรื้อรังสะท้อนถึงปัจจัยเสี่ยงต่างๆ ในชุมชนและคุณภาพของระบบสาธารณสุข,Indicates the overall burden of non-communicable chronic diseases within the population. Chronic disease prevalence reflects the cumulative impact of various risk factors and healthcare system effectiveness.,จำนวนผู้ป่วยโรคเรื้อรัง ÷ จำนวนประชากรทั้งหมด × 100,Number of people with chronic diseases ÷ Total population × 100
41,diabetes,อัตราความชุกของผู้ป่วยโรคเบาหวาน,Diabetes,วัดจำนวนผู้ป่วยโรคเบาหวานซึ่งเป็นโรคที่มีระดับน้ำตาลในเลือดสูง โรคนี้ต้องควบคุมอย่างต่อเนื่องและอาจทำให้เกิดโรคแทรกซ้อนอื่นๆ เช่น โรคหัวใจและไต,Measures the prevalence of diabetes mellitus a metabolic disorder characterized by high blood glucose levels. Diabetes requires ongoing management and increases risks of cardiovascular disease kidney failure and other complications.,จำนวนผู้ป่วยโรคเบาหวาน ÷ จำนวนประชากรทั้งหมด × 100,Number of diabetes cases ÷ Total population × 100
42,hypertension,อัตราความชุกของผู้ป่วยโรคความดันโลหิตสูง,Hypertension,"วัดจำนวนผู้ที่มีความดันโลหิตสูงอย่างต่อเนื่อง เป็นปัจจัยเสี่ยงสำคัญของโรคหลอดเลือดสมองและโรคหัวใจ มักไม่มีอาการจึงเรียกว่า ""โรคนักฆ่าเงียบ""","Tracks the percentage of individuals with persistently elevated blood pressure. Hypertension is a major risk factor for stroke heart disease and kidney disease often called the ""silent killer"" due to its asymptomatic nature.",จำนวนผู้ป่วยโรคความดันโลหิตสูง ÷ จำนวนประชากรทั้งหมด × 100,Number of hypertension cases ÷ Total population × 100
43,gout,อัตราความชุกของผู้ป่วยโรคเกาต์,Gout,วัดจำนวนผู้ป่วยโรคเกาต์ซึ่งเป็นโรคข้ออักเสบจากกรดยูริกสูง ทำให้ข้อบวมเจ็บปวดมาก หากไม่รักษาอาจเป็นโรคข้อเรื้อรังและนิ่วในไต,Indicates the prevalence of gout a form of inflammatory arthritis caused by elevated uric acid levels. Gout causes painful joint inflammation and can lead to chronic arthritis and kidney stones if untreated.,จำนวนผู้ป่วยโรคเกาต์ ÷ จำนวนประชากรทั้งหมด × 100,Number of gout cases ÷ Total population × 100
44,chronic_kidney_disease,อัตราความชุกของผู้ป่วยโรคไตวายเรื้อรัง,Chronic Kidney Disease,วัดจำนวนผู้ป่วยที่มีการทำงานของไตลดลงอย่างต่อเนื่อง หากรุนแรงอาจต้องฟอกเลือดหรือปลูกถ่ายไต และเพิ่มความเสี่ยงของโรคหัวใจและหลอดเลือด,Measures the proportion of individuals with progressive loss of kidney function over time. Chronic kidney disease can lead to kidney failure requiring dialysis or transplantation and increases cardiovascular disease risk.,จำนวนผู้ป่วยโรคไตวายเรื้อรัง ÷ จำนวนประชากรทั้งหมด × 100,Number of chronic kidney disease cases ÷ Total population × 100
45,cancer,อัตราความชุกของผู้ป่วยโรคมะเร็ง,Cancer,วัดจำนวนผู้ป่วยมะเร็งทุกชนิดและระยะ เป็นสาเหตุสำคัญของการเสียชีวิตและต้องการการรักษาที่ซับซ้อนเป็นระยะเวลานาน,Tracks the prevalence of malignant neoplasms across all types and stages. Cancer represents one of the leading causes of morbidity and mortality requiring complex treatment and long-term management.,จำนวนผู้ป่วยโรคมะเร็ง ÷ จำนวนประชากรทั้งหมด × 100,Number of cancer cases ÷ Total population × 100
46,high_cholesterol,อัตราความชุกของผู้ป่วยโรคไขมันในเลือดสูง,High Cholesterol,วัดจำนวนผู้ที่มีระดับไขมันในเลือดสูง เป็นปัจจัยเสี่ยงสำคัญของโรคหลอดเลือดแข็งตัว โรคหัวใจ และโรคหลอดเลือดสมอง,Indicates the percentage of individuals with elevated blood cholesterol levels. High cholesterol is a major risk factor for atherosclerosis heart disease and stroke.,จำนวนผู้ป่วยโรคไขมันในเลือดสูง ÷ จำนวนประชากรทั้งหมด × 100,Number of high cholesterol cases ÷ Total population × 100
47,ischemic_heart_disease,อัตราความชุกของผู้ป่วยโรคกล้ามเนื้อหัวใจขาดเลือด,Ischemic Heart Disease,วัดจำนวนผู้ป่วยโรคหลอดเลือดหัวใจที่เกิดจากการไหลเวียนเลือดไปเลี้ยงหัวใจลดลง เป็นสาเหตุสำคัญของการเสียชีวิตและความพิการ,Measures the prevalence of coronary artery disease resulting from reduced blood flow to the heart muscle. Ischemic heart disease is a leading cause of death and disability globally.,จำนวนผู้ป่วยโรคกล้ามเนื้อหัวใจขาดเลือด ÷ จำนวนประชากรทั้งหมด × 100,Number of ischemic heart disease cases ÷ Total population × 100
48,liver_disease,อัตราความชุกของผู้ป่วยโรคตับ,Liver Disease,วัดจำนวนผู้ป่วยโรคตับต่างๆ เช่น ตับแข็ง ตับอักเสบ และตับไขมัน หากรุนแรงอาจทำให้ตับวายและส่งผลต่อสุขภาพโดยรวม,Tracks various conditions affecting liver function including cirrhosis hepatitis and fatty liver disease. Liver disease can progress to liver failure and significantly impacts overall health and survival.,จำนวนผู้ป่วยโรคตับ ÷ จำนวนประชากรทั้งหมด × 100,Number of liver disease cases ÷ Total population × 100
49,stroke,อัตราความชุกของผู้ป่วยโรคหลอดเลือดสมอง,Stroke,วัดจำนวนผู้ป่วยโรคหลอดเลือดสมองที่ทำให้เนื้อเยื่อสมองเสียหาย เป็นสาเหตุสำคัญของความพิการและการเสียชีวิต มักเหลือความบกพร่องทางระบบประสาท,Indicates the prevalence of cerebrovascular accidents resulting in brain tissue damage. Stroke is a leading cause of disability and death often resulting in long-term neurological impairments.,จำนวนผู้ป่วยโรคหลอดเลือดสมอง ÷ จำนวนประชากรทั้งหมด × 100,Number of stroke cases ÷ Total population × 100
50,hiv,อัตราความชุกของผู้ป่วยโรคเอชไอวี,HIV,วัดจำนวนผู้ติดเชื้อไวรัสเอชไอวีในประชากร ไวรัสนี้ทำลายระบบภูมิคุ้มกันและหากไม่รักษาจะกลายเป็นโรคเอดส์,Measures the prevalence of Human Immunodeficiency Virus infection within the population. HIV compromises immune system function and without treatment progresses to AIDS with severe health consequences.,จำนวนผู้ป่วยโรคเอชไอวี ÷ จำนวนประชากรทั้งหมด × 100,Number of HIV cases ÷ Total population × 100
51,mental_health,อัตราความชุกของผู้ป่วยโรคทางจิตเวช,Mental Health Disorders,วัดจำนวนผู้ป่วยโรคทางจิตเวชที่ส่งผลต่ออารมณ์ ความคิด และพฤติกรรม ส่งผลกระทบต่อคุณภาพชีวิตและการทำงานในสังคม,Tracks the prevalence of psychiatric disorders affecting mood thinking and behavior. Mental health conditions significantly impact quality of life social functioning and overall well-being.,จำนวนผู้ป่วยโรคทางจิตเวช ÷ จำนวนประชากรทั้งหมด × 100,Number of mental health disorder cases ÷ Total population × 100
52,allergies,อัตราความชุกของผู้ป่วยโรคภูมิแพ้,Allergies,วัดจำนวนผู้ที่มีอาการแพ้สิ่งต่างๆ จากสิ่งแวดล้อมหรืออาหาร อาจมีอาการตั้งแต่เล็กน้อยจนถึงรุนแรงและอันตราย,Indicates the percentage of individuals with allergic reactions to environmental or dietary triggers. Allergies can range from mild discomfort to severe life-threatening anaphylactic reactions.,จำนวนผู้ป่วยโรคภูมิแพ้ ÷ จำนวนประชากรทั้งหมด × 100,Number of allergy cases ÷ Total population × 100
53,bone_joint_disease,อัตราความชุกของผู้ป่วยโรคกระดูกและข้อ,Bone and Joint Disease,วัดจำนวนผู้ป่วยโรคที่เกี่ยวข้องกับกระดูก ข้อ และเนื้อเยื่อข้อต่อ มักทำให้เจ็บปวดเรื้อรัง เคลื่อนไหวลำบาก และจำกัดการทำงาน,Measures the prevalence of musculoskeletal conditions affecting bones joints and connective tissues. These conditions often cause chronic pain reduced mobility and functional limitations.,จำนวนผู้ป่วยโรคกระดูกและข้อ ÷ จำนวนประชากรทั้งหมด × 100,Number of bone and joint disease cases ÷ Total population × 100
54,respiratory_disease,อัตราความชุกของผู้ป่วยโรคระบบทางเดินหายใจ,Respiratory Disease,วัดจำนวนผู้ป่วยโรคปอดและทางเดินหายใจ เช่น หืด โรคปอดอุดกั้นเรื้อรัง ส่งผลต่อคุณภาพชีวิตและอาจเป็นอันตราย,Tracks conditions affecting the lungs and breathing including asthma chronic obstructive pulmonary disease and infections. Respiratory diseases significantly impact quality of life and can be life-threatening.,จำนวนผู้ป่วยโรคระบบทางเดินหายใจ ÷ จำนวนประชากรทั้งหมด × 100,Number of respiratory disease cases ÷ Total population × 100
55,emphysema,อัตราความชุกของผู้ป่วยโรคถุงลมโป่งพอง,Emphysema,วัดจำนวนผู้ป่วยโรคถุงลมปอดโป่งพองทำให้หายใจลำบาก มักเกิดจากการสูบบุหรี่และทำให้ระบบหายใจทำงานแย่ลงเรื่อยๆ,Indicates the prevalence of lung tissue damage resulting in breathing difficulties. Emphysema is typically associated with smoking and causes progressive respiratory impairment and reduced quality of life.,จำนวนผู้ป่วยโรคถุงลมโป่งพอง ÷ จำนวนประชากรทั้งหมด × 100,Number of emphysema cases ÷ Total population × 100
56,anemia,อัตราความชุกของผู้ป่วยโรคโลหิตจาง,Anemia,วัดจำนวนผู้ที่มีเม็ดเลือดแดงหรือฮีโมโกลบินน้อยกว่าปกติ ทำให้เหนื่อยง่าย อ่อนแอ และอาจเป็นสัญญาณของโรคอื่น,Measures the percentage of individuals with insufficient red blood cells or hemoglobin. Anemia causes fatigue weakness and can indicate underlying nutritional deficiencies or chronic diseases.,จำนวนผู้ป่วยโรคโลหิตจาง ÷ จำนวนประชากรทั้งหมด × 100,Number of anemia cases ÷ Total population × 100
57,stomach_ulcer,อัตราความชุกของผู้ป่วยโรคกระเพาะอาหาร,Stomach Ulcer,วัดจำนวนผู้ป่วยแผลในกระเพาะอาหาร ทำให้เจ็บท้อง เลือดออก และหากไม่รักษาอาจเกิดภาวะแทรกซ้อนร้ายแรง,Tracks the prevalence of peptic ulcers in the stomach lining. Stomach ulcers cause pain bleeding and can lead to serious complications if untreated.,จำนวนผู้ป่วยโรคกระเพาะอาหาร ÷ จำนวนประชากรทั้งหมด × 100,Number of stomach ulcer cases ÷ Total population × 100
58,epilepsy,อัตราความชุกของผู้ป่วยโรคลมชัก,Epilepsy,วัดจำนวนผู้ป่วยโรคลมชักซึ่งมีอาการชักซ้ำๆ จากไฟฟ้าในสมองผิดปกติ ต้องรักษาต่อเนื่องและส่งผลต่อชีวิตประจำวัน,Indicates the percentage of individuals with recurrent seizures due to abnormal brain electrical activity. Epilepsy requires ongoing medical management and can significantly impact daily functioning and safety.,จำนวนผู้ป่วยโรคลมชัก ÷ จำนวนประชากรทั้งหมด × 100,Number of epilepsy cases÷ Total population × 100
59,intestinal_disease,อัตราความชุกของผู้ป่วยโรคลำไส้,Intestinal Disease,วัดจำนวนผู้ป่วยโรคที่เกี่ยวข้องกับลำไส้ เช่น ลำไส้อักเสบ ทำให้มีอาการเรื้อรังและปัญหาการดูดซึมอาหาร,Measures various conditions affecting the intestinal tract including inflammatory bowel disease and other gastrointestinal disorders. These conditions often cause chronic symptoms and nutritional complications.,จำนวนผู้ป่วยโรคลำไส้ ÷ จำนวนประชากรทั้งหมด × 100,Number of intestinal disease cases ÷ Total population × 100
60,paralysis,อัตราความชุกของผู้ป่วยโรคอัมพาต,Paralysis,วัดจำนวนผู้ที่สูญเสียการทำงานของกล้ามเนื้อจากระบบประสาทเสียหาย ส่งผลต่อการเคลื่อนไหวและต้องการการดูแลและฟื้นฟูอย่างต่อเนื่อง,Tracks the prevalence of motor function loss due to nervous system damage. Paralysis significantly impacts mobility independence and requires extensive rehabilitation and support services.,จำนวนผู้ป่วยโรคอัมพาต ÷ จำนวนประชากรทั้งหมด × 100,Number of paralysis cases ÷ Total population × 100
61,dementia,อัตราความชุกของผู้ป่วยโรคอัมพฤกษ์,Dementia,วัดจำนวนผู้ป่วยสมองเสื่อมที่มีความจำและความคิดลดลงอย่างต่อเนื่อง ส่งผลต่อการทำงานประจำวันและเป็นปัญหาสำคัญของผู้สูงอายุ,Indicates the percentage of individuals with progressive cognitive decline affecting memory thinking and daily functioning. Dementia represents a major public health challenge with profound impacts on individuals and families.,จำนวนผู้ป่วยโรคอัมพฤกษ์ ÷ จำนวนประชากรทั้งหมด × 100,Number of dementia cases ÷ Total population × 100
62,cardiovascular_diseases,ภาระโรคหัวใจและหลอดเลือด,Cardiovascular Disease Burden,วัดภาระรวมของโรคหัวใจและหลอดเลือด รวมถึงความดันโลหิตสูง โรคหัวใจ และโรคหลอดเลือดสมอง โรคหัวใจและหลอดเลือดเป็นสาเหตุหลักของการเสียชีวิตและความพิการทั่วโลก,Measures the combined burden of heart and blood vessel diseases including hypertension heart disease and stroke. Cardiovascular diseases are leading causes of death and disability worldwide.,จำนวนผู้ป่วยโรคหัวใจและหลอดเลือด ÷ จำนวนประชากรทั้งหมด × 100,Number of combined burden of heart and blood vessel diseases cases ÷ Total population × 100
63,metabolic_diseases,ภาระโรคเมแทบอลิก,Metabolic Disease Burden,ติดตามความชุกรวมของภาวะที่ส่งผลต่อการเมแทบอลิซึม รวมถึงโรคเบาหวาน โรคเกาต์ และคอเลสเตอรอลสูง โรคเมแทบอลิซึมมักเกิดขึ้นร่วมกันและเพิ่มความเสี่ยงของภาวะแทรกซ้อนร้ายแรง,Tracks the collective prevalence of conditions affecting metabolism including diabetes gout and high cholesterol. Metabolic diseases often cluster together and increase risks of serious complications.,จำนวนผู้ป่วยโรคเบาหวาน โรคเกาต์ และคอเลสเตอรอลสูง ÷ จำนวนประชากรทั้งหมด × 100,Number of combined diabetes gout and high cholesterol cases ÷ Total population × 100
64,multiple_chronic_conditions,อัตราส่วนผู้ป่วยที่มีโรคไม่ติตต่อเรื้อรังหลายโรค (มีโรค 2 ชนิดขึ้นไป),Multiple Chronic Conditions (2+),แสดงเปอร์เซ็นต์ของบุคคลที่อยู่กับโรคเรื้อรังสองโรคหรือมากกว่าพร้อมกัน โรคเรื้อรังหลายโรคเพิ่มความซับซ้อนของการดูแลสุขภาพ ต้นทุน และความเสี่ยงของผลลัพธ์สุขภาพที่ไม่พึงประสงค์,Indicates the percentage of individuals living with two or more chronic diseases simultaneously. Multiple chronic conditions increase healthcare complexity costs and risks of adverse health outcomes.,จำนวนผู้ป่วยที่ป่วยโรคเรื้อรังตั้งแต่ 2 โรคขึ้นไป ÷ จำนวนประชากรทั้งหมด × 100,Number of individuals living with two or more chronic diseases ÷ Total population × 100
65,doctor_per_population,จำนวนแพทย์ต่อประชากร,Physicians per capita,"จำนวนแพทย์ต่อประชากร (ต่อ 1,000 คน) การมีแพทย์ในจำนวนที่เพียงพอมีความสำคัญอย่างยิ่งต่อการดูแลเชิงป้องกัน การจัดการโรค และผลลัพธ์ด้านสุขภาพของประชากรโดยรวม พื้นที่ที่มีความหนาแน่นของแพทย์สูงกว่ามักแสดงให้เห็นผลลัพธ์ด้านสุขภาพที่ดีกว่า รวมถึงอัตราการเสียชีวิตที่ต่ำลงและการจัดการโรคเรื้อรังที่ดีขึ้น","The number of physicians per 1,000 people in a population. Adequate physician availability is crucial for preventive care, disease management, and overall population health outcomes. Areas with higher physician density typically show better health outcomes, including lower mortality rates and better management of chronic conditions.","จำนวนแพทย์ / จำนวนประชากรทั้งหมด × 1,000","Number of physicians ÷ Total population × 1,000"
66,nurse_per_population,จำนวนพยาบาลและผดุงครรภ์ต่อประชากร,Nurses per capita ,"จำนวนพยาบาลและผดุงครรภ์ต่อประชากร (ต่อ 1,000 คน) การมีบุคลากรพยาบาลในจำนวนที่เพียงพอส่งผลโดยตรงต่อคุณภาพการให้บริการสุขภาพและผลลัพธ์ของผู้ป่วย อัตราส่วนบุคลากรพยาบาลที่สูงขึ้นมีความสัมพันธ์กับอัตราการเสียชีวิตของผู้ป่วยที่ลดลง ภาวะแทรกซ้อนที่น้อยลง และผลลัพธ์ด้านสุขภาพของมารดาและเด็กที่ดีขึ้น","The number of nurses and midwives per 1,000 people. Nursing staff availability directly influences the quality of healthcare delivery and patient outcomes. Higher ratios of nursing staff are associated with reduced patient mortality, fewer complications, and better maternal and child health outcomes.","จำนวนพยาบาล / จำนวนประชากรทั้งหมด × 1,000","Number of nurses ÷ Total population × 1,000"
67,healthworker_per_population,จำนวนบุคลากรทางการแพทย์ต่อประชากร,Health workers per capita,"จำนวนบุคลากรด้านสุขภาพต่อประชากร: แพทย์ พยาบาล/ผดุงครรภ์ ทันตบุคลากร เภสัชกร (ต่อ 10,000 คน) กำลังคนด้านสุขภาพที่กระจายตัวอย่างดีช่วยให้มั่นใจได้ว่ามีการเข้าถึงบริการสุขภาพที่หลากหลายอย่างทั่วถึง ชุมชนที่มีบุคลากรด้านสุขภาพครบถ้วนแสดงให้เห็นผลลัพธ์ด้านสุขภาพที่ดีขึ้นในบริการต่างๆ","The number of various health workers (physicians, nursing/midwifery, dental, and pharmaceutical personnel) per 10,000 population. A well-distributed healthcare workforce ensures broader access to diverse health services. Communities with comprehensive healthcare staffing show better health outcomes across various specialties and services.","จำนวนบุคลากรทางการแพทย์ / จำนวนประชากรทั้งหมด × 10,000","Number of health workers ÷ Total population × 1,000"
68,community_healthworker_per_population,จำนวนอาสาสมัครสาธารณสุขในชุมชนต่อประชากร,Community health workers per capita,"จำนวนอาสาสมัครสาธารณสุขชุมชนต่อประชากร (ต่อ 1,000 คน) อาสาสมัครสาธารณสุขชุมชนมีบทบาทสำคัญในการส่งเสริมสุขภาพ การป้องกันโรค และการเข้าถึงบริการสุขภาพในพื้นที่ด้อยโอกาส การมีอาสาสมัครสาธารณสุขมีความสัมพันธ์กับผลลัพธ์ด้านสุขภาพของมารดาและเด็กที่ดีขึ้น การจัดการโรคเรื้อรังที่ดีขึ้น และการใช้บริการเชิงป้องกันที่เพิ่มขึ้น","The number of community health workers per 1,000 people. Community health workers play a vital role in health promotion, disease prevention, and healthcare access in underserved areas. Their presence is associated with improved maternal and child health outcomes, better chronic disease management, and increased preventive care utilization.","จำนวนอาสาสมัครสาธารณสุขในชุมชน / จำนวนประชากรทั้งหมด × 1,000","Number of community health workers ÷ Total population × 1,000"
69,health_service_access,จำนวนสถานบริการด้านสุขภาพต่อประชากร,Health facilities per capita,"จำนวนสถานบริการด้านสุขภาพต่อประชากร (ต่อ 10,000 คน) จำนวนสถานบริการสุขภาพประกอบไปด้วย โรงพยาบาล คลินิก ร้านขายยา ศูนย์บริการสาธารณสุข ศูนย์สุขภาพชุมชน",Total number of health facilities per capita,"จำนวนสถานบริการด้านสุขภาพ / จำนวนประชากรทั้งหมด × 10,000","Number of  health facilities ÷ Total population × 10,000"
70,bed_per_population,จำนวนเตียงต่อประชากร,Hospital beds per capita,"จำนวนเตียงโรงพยาบาลต่อประชากร (ต่อ 10,000 คน) ความสามารถในการรองรับผู้ป่วยที่เพียงพอมีความสำคัญต่อการจัดการความต้องการด้านการดูแลสุขภาพทั้งในภาวะปกติและภาวะวิกฤต ตัวชี้วัดนี้มีอิทธิพลต่อคุณภาพการดูแลผู้ป่วย อัตราการกลับเข้ารับการรักษาในโรงพยาบาล และความยืดหยุ่นโดยรวมของระบบสุขภาพ","The number of hospital beds per 10,000 population. Adequate hospital bed capacity is essential for managing both routine healthcare needs and crisis situations. This indicator influences patient care quality, hospital readmission rates, and overall healthcare system resilience.","จำนวนเตียง / จำนวนประชากรทั้งหมด × 10,000","Number of  hospital bed ÷ Total population × 10,000"
71,sportfield_per_population,จำนวนลานกีฬาและสนามกีฬาต่อประชากร,Sportfield per population,"วัดการกระจายและการเข้าถึงพื้นที่สำหรับออกกำลังกายและเล่นกีฬาของประชาชนในพื้นที่ โดยคำนวณจากจำนวนหรือขนาดพื้นที่ของลานกีฬาและสนามกีฬาต่อจำนวนประชากร 1,000 คน อัตราส่วนนี้เป็นดัชนีสำคัญที่สะท้อนถึงนโยบายด้านการส่งเสริมสุขภาพและคุณภาพชีวิตของประชากร","The number or total area of sports fields and stadiums per 1,000 population. This metric assesses the distribution of and public access to exercise and sports facilities within a given area. This ratio serves as a key indicator of policies aimed at promoting public","จำนวนลานกีฬา / จำนวนประชากรทั้งหมด × 1,000","Number of  sport field ÷ Total population × 1,000"
72,market_per_population,จำนวนตลาดสดและซูเปอร์มาร์เก็ตต่อประชากร,Fresh markets and supermarkets per population,"วัดการเข้าถึงแหล่งอาหาร (Food Access) ต่อจำนวนประชากร 10,000 คน และสะท้อนภาพรวมของ สภาพแวดล้อมทางอาหาร (Food Environment) ในพื้นที่นั้น ๆ","The number of fresh market per 10,000 population. A measure for assessing Food Access and the overall Food Environment within a particular area.","จำนวนตลาดและซูเปอร์มาร์เก็ต / จำนวนประชากรทั้งหมด × 10,000","Number of fresh market ÷ Total population × 10,000"
